,prev,next
48,영수는 검사이다. 그런데,항상 사건의 명확한 증거 수집에 최선을 다하는 사람이 이러한 영수이다.
49,영수는 검사이다. 그런데,항상 사건의 명확한 증거 수집에 최선을 다하는 사람이 이 영수이다.
50,영수는 검사이다. 그런데,항상 사건의 명확한 증거 수집에 최선을 다하는 사람이 영수이다.
51,영희는 스튜어디스이다. 그런데,현재 탑승객들에게 인사를 하는 사람이 이러한 영희이다.
52,영희는 스튜어디스이다. 그런데,현재 탑승객들에게 인사를 하는 사람이 이 영희이다.
53,영희는 스튜어디스이다. 그런데,현재 탑승객들에게 인사를 하는 사람이 영희이다.
54,영희는 아나운서이다. 그런데,미녀로 소문난 사람이 이러한 영희이다.
55,영희는 아나운서이다. 그런데,미녀로 소문난 사람이 이 영희이다.
56,영희는 아나운서이다. 그런데,미녀로 소문난 사람이 영희이다.
57,영수는 국회 의원이다. 그런데,국회에서 연설을 준비하고 있는 사람이 이러한 영수이다.
58,영수는 국회 의원이다. 그런데,국회에서 연설을 준비하고 있는 사람이 이 영수이다.
59,영수는 국회 의원이다. 그런데,국회에서 연설을 준비하고 있는 사람이 영수이다.
60,영희는 변리사이다. 그런데,상냥하고 친절하여 특허청 소속 사람들에게 인기가 높은 사람이 이러한 영희이다.
61,영희는 변리사이다. 그런데,상냥하고 친절하여 특허청 소속 사람들에게 인기가 높은 사람이 이 영희이다.
62,영희는 변리사이다. 그런데,상냥하고 친절하여 특허청 소속 사람들에게 인기가 높은 사람이 영희이다.
63,영희는 교사이다. 그런데,항상 학생들을 올바르게 지도하는 사람이 이러한 영희이다.
64,영희는 교사이다. 그런데,항상 학생들을 올바르게 지도하는 사람이 이 영희이다.
65,영희는 교사이다. 그런데,항상 학생들을 올바르게 지도하는 사람이 영희이다.
66,영희는 대변인이다. 그런데,항상 논리적으로 말하는 사람이 이러한 영희이다.
67,영희는 대변인이다. 그런데,항상 논리적으로 말하는 사람이 이 영희이다.
68,영희는 대변인이다. 그런데,항상 논리적으로 말하는 사람이 영희이다.
69,영수는 대표 이사이다. 그런데,지금 회의를 주관하고 있는 사람이 이러한 영수이다.
70,영수는 대표 이사이다. 그런데,지금 회의를 주관하고 있는 사람이 이 영수이다.
71,영수는 대표 이사이다. 그런데,지금 회의를 주관하고 있는 사람이 영수이다.
72,영수는 경찰이다. 그런데,주민들의 고충을 해결해 주는 사람이 이러한 영수이다.
73,영수는 경찰이다. 그런데,주민들의 고충을 해결해 주는 사람이 이 영수이다.
74,영수는 경찰이다. 그런데,주민들의 고충을 해결해 주는 사람이 영수이다.
75,영희는 농부이다. 그런데,유기농에 관심을 가지고 있는 사람이 이러한 영희이다.
76,영희는 농부이다. 그런데,유기농에 관심을 가지고 있는 사람이 이 영희이다.
77,영희는 농부이다. 그런데,유기농에 관심을 가지고 있는 사람이 영희이다.
78,영수는 어부이다. 그런데,바다를 소재로 한 텔레비전 프로그램에 참여했던 사람이 이러한 영수이다.
79,영수는 어부이다. 그런데,바다를 소재로 한 텔레비전 프로그램에 참여했던 사람이 이 영수이다.
80,영수는 어부이다. 그런데,바다를 소재로 한 텔레비전 프로그램에 참여했던 사람이 영수이다.
81,영희는 광부이다. 그런데,요즘 광부들 중에서 가장 인기가 있는 사람이 이러한 영희이다.
82,영희는 광부이다. 그런데,요즘 광부들 중에서 가장 인기가 있는 사람이 이 영희이다.
83,영희는 광부이다. 그런데,요즘 광부들 중에서 가장 인기가 있는 사람이 영희이다.
84,영수는 조종사이다. 그런데,비행기에 애착을 갖는 사람이 이러한 영수이다.
85,영수는 조종사이다. 그런데,비행기에 애착을 갖는 사람이 이 영수이다.
86,영수는 조종사이다. 그런데,비행기에 애착을 갖는 사람이 영수이다.
87,영희는 장교이다. 그런데,항상 입대를 원했던 사람이 이러한 영희이다.
88,영희는 장교이다. 그런데,항상 입대를 원했던 사람이 이 영희이다.
89,영희는 장교이다. 그런데,항상 입대를 원했던 사람이 영희이다.
90,영수는 배우이다. 그런데,항상 연기에 몰입하는 사람이 이러한 영수이다.
91,영수는 배우이다. 그런데,항상 연기에 몰입하는 사람이 이 영수이다.
92,영수는 배우이다. 그런데,항상 연기에 몰입하는 사람이 영수이다.
93,영희는 가수이다. 그런데,부드러운 목소리를 가진 사람이 이러한 영희이다.
94,영희는 가수이다. 그런데,부드러운 목소리를 가진 사람이 이 영희이다.
95,영희는 가수이다. 그런데,부드러운 목소리를 가진 사람이 영희이다.
96,영수는 대장장이이다. 그런데,망치로 두드리는 것을 좋아하는 사람이 이러한 영수이다.
97,영수는 대장장이이다. 그런데,망치로 두드리는 것을 좋아하는 사람이 이 영수이다.
98,영수는 대장장이이다. 그런데,망치로 두드리는 것을 좋아하는 사람이 영수이다.
99,영수는 의사이다. 그런데,항상 의학 서적을 읽는 사람이 이러한 영수이다.
100,영수는 의사이다. 그런데,항상 의학 서적을 읽는 사람이 이 영수이다.
101,영수는 의사이다. 그런데,항상 의학 서적을 읽는 사람이 영수이다.
102,영희는 간호사이다. 그런데,온도계로 환자의 체온을 측정하고 있는 사람이 이러한 영희이다.
103,영희는 간호사이다. 그런데,온도계로 환자의 체온을 측정하고 있는 사람이 이 영희이다.
104,영희는 간호사이다. 그런데,온도계로 환자의 체온을 측정하고 있는 사람이 영희이다.
105,영희는 운전사이다. 그런데,자동차 운행을 좋아했던 사람이 이러한 영희이다.
106,영희는 운전사이다. 그런데,자동차 운행을 좋아했던 사람이 이 영희이다.
107,영희는 운전사이다. 그런데,자동차 운행을 좋아했던 사람이 영희이다.
108,영수는 외교관이다. 그런데,이번 사건에 대해 자기 나라의 입장을 충분히 이해하고 있는 사람이 이러한 영수이다.
109,영수는 외교관이다. 그런데,이번 사건에 대해 자기 나라의 입장을 충분히 이해하고 있는 사람이 이 영수이다.
110,영수는 외교관이다. 그런데,이번 사건에 대해 자기 나라의 입장을 충분히 이해하고 있는 사람이 영수이다.
111,영희는 선교사이다. 그런데,항상 외국에 나가서 전도 활동을 하고 싶어 했던 사람이 이러한 영희이다.
112,영희는 선교사이다. 그런데,항상 외국에 나가서 전도 활동을 하고 싶어 했던 사람이 이 영희이다.
113,영희는 선교사이다. 그런데,항상 외국에 나가서 전도 활동을 하고 싶어 했던 사람이 영희이다.
114,영희는 모델이다. 그런데,청순한 이미지를 가지고 있는 사람이 이러한 영희이다.
115,영희는 모델이다. 그런데,청순한 이미지를 가지고 있는 사람이 이 영희이다.
116,영희는 모델이다. 그런데,청순한 이미지를 가지고 있는 사람이 영희이다.
117,영희는 언어학자이다. 그런데,언어학에 새로운 가설을 제기하고 있는 학자가 이러한 영희이다.
118,영희는 언어학자이다. 그런데,언어학에 새로운 가설을 제기하고 있는 학자가 이 영희이다.
119,영희는 언어학자이다. 그런데,언어학에 새로운 가설을 제기하고 있는 학자가 영희이다.
120,영수는 경제학자이다. 그런데,경제학을 좋아했던 학자가 이러한 영수이다.
121,영수는 경제학자이다. 그런데,경제학을 좋아했던 학자가 이 영수이다.
122,영수는 경제학자이다. 그런데,경제학을 좋아했던 학자가 영수이다.
123,영수는 과학자이다. 그런데,자연 현상에 관심을 가졌던 학자가 이러한 영수이다.
124,영수는 과학자이다. 그런데,자연 현상에 관심을 가졌던 학자가 이 영수이다.
125,영수는 과학자이다. 그런데,자연 현상에 관심을 가졌던 학자가 영수이다.
126,영희는 사회학자이다. 그런데,특이한 사회 현상을 관찰하고자 했던 학자가 이러한 영희이다.
127,영희는 사회학자이다. 그런데,특이한 사회 현상을 관찰하고자 했던 학자가 이 영희이다.
128,영희는 사회학자이다. 그런데,특이한 사회 현상을 관찰하고자 했던 학자가 영희이다.
129,영희는 철학자이다. 그런데,항상 삶의 본질에 대하여 토의하는 것을 좋아하는 사람이 이러한 영희이다.
130,영희는 철학자이다. 그런데,항상 삶의 본질에 대하여 토의하는 것을 좋아하는 사람이 이 영희이다.
131,영희는 철학자이다. 그런데,항상 삶의 본질에 대하여 토의하는 것을 좋아하는 사람이 영희이다.
132,영수는 영화감독이다. 그런데,영화 제작하기를 좋아하는 사람이 이러한 영수이다.
133,영수는 영화감독이다. 그런데,영화 제작하기를 좋아하는 사람이 이 영수이다.
134,영수는 영화감독이다. 그런데,영화 제작하기를 좋아하는 사람이 영수이다.
135,영희는 기자이다. 그런데,사건 취재에 대한 특별한 재주를 가지고 있는 사람이 이러한 영희이다.
136,영희는 기자이다. 그런데,사건 취재에 대한 특별한 재주를 가지고 있는 사람이 이 영희이다.
137,영희는 기자이다. 그런데,사건 취재에 대한 특별한 재주를 가지고 있는 사람이 영희이다.
138,영수는 법학자이다. 그런데,자유의 토대가 법이라고 믿는 학자가 이러한 영수이다.
139,영수는 법학자이다. 그런데,자유의 토대가 법이라고 믿는 학자가 이 영수이다.
140,영수는 법학자이다. 그런데,자유의 토대가 법이라고 믿는 학자가 영수이다.
141,영수는 수학자이다. 그런데,기하와 대수에 대하여 토의하기를 좋아하는 학자가 이러한 영수이다.
142,영수는 수학자이다. 그런데,기하와 대수에 대하여 토의하기를 좋아하는 학자가 이 영수이다.
143,영수는 수학자이다. 그런데,기하와 대수에 대하여 토의하기를 좋아하는 학자가 영수이다.
144,영희는 문학가이다. 그런데,항상 문학 작품 창작에 심혈을 기울이는 사람이 이러한 영희이다.
145,영희는 문학가이다. 그런데,항상 문학 작품 창작에 심혈을 기울이는 사람이 이 영희이다.
146,영희는 문학가이다. 그런데,항상 문학 작품 창작에 심혈을 기울이는 사람이 영희이다.
147,영수는 유전학자이다. 그런데,새로운 유전 법칙을 발표했던 학자가 이러한 영수이다.
148,영수는 유전학자이다. 그런데,새로운 유전 법칙을 발표했던 학자가 이 영수이다.
149,영수는 유전학자이다. 그런데,새로운 유전 법칙을 발표했던 학자가 영수이다.
150,영희는 디자이너이다. 그런데,항상 의복 설계에 최선을 다하는 사람이 이러한 영희이다.
151,영희는 디자이너이다. 그런데,항상 의복 설계에 최선을 다하는 사람이 이 영희이다.
152,영희는 디자이너이다. 그런데,항상 의복 설계에 최선을 다하는 사람이 영희이다.
153,영수는 회계사이다. 그런데,항상 자신의 장부에 수입과 지출과 관련된 사항들을 기입하는 사람이 이러한 영수이다.
154,영수는 회계사이다. 그런데,항상 자신의 장부에 수입과 지출과 관련된 사항들을 기입하는 사람이 이 영수이다.
155,영수는 회계사이다. 그런데,항상 자신의 장부에 수입과 지출과 관련된 사항들을 기입하는 사람이 영수이다.
156,영수는 건축사이다. 그런데,최근 신축 건물들의 설계에 조언을 해 주는 사람이 이러한 영수이다.
157,영수는 건축사이다. 그런데,최근 신축 건물들의 설계에 조언을 해 주는 사람이 이 영수이다.
158,영수는 건축사이다. 그런데,최근 신축 건물들의 설계에 조언을 해 주는 사람이 영수이다.
159,영희는 가정주부이다. 그런데,집안의 대소사에 관심이 많은 사람이 이러한 영희이다.
160,영희는 가정주부이다. 그런데,집안의 대소사에 관심이 많은 사람이 이 영희이다.
161,영희는 가정주부이다. 그런데,집안의 대소사에 관심이 많은 사람이 영희이다.
162,영희는 사회 복지사이다. 그런데,사람들에게 사회 복지의 개념을 설명하고 있는 사람이 이러한 영희이다.
163,영희는 사회 복지사이다. 그런데,사람들에게 사회 복지의 개념을 설명하고 있는 사람이 이 영희이다.
164,영희는 사회 복지사이다. 그런데,사람들에게 사회 복지의 개념을 설명하고 있는 사람이 영희이다.
165,영희는 약사이다. 그런데,지금 의약품에 관한 서적들을 읽고 있는 사람이 이러한 영희이다.
166,영희는 약사이다. 그런데,지금 의약품에 관한 서적들을 읽고 있는 사람이 이 영희이다.
167,영희는 약사이다. 그런데,지금 의약품에 관한 서적들을 읽고 있는 사람이 영희이다.
168,영희는 세무사이다. 그런데,국세청을 자주 찾아가는 사람이 이러한 영희이다.
169,영희는 세무사이다. 그런데,국세청을 자주 찾아가는 사람이 이 영희이다.
170,영희는 세무사이다. 그런데,국세청을 자주 찾아가는 사람이 영희이다.
171,영희는 역무원이다. 그런데,철도역에서 승객들을 안내하는 사람이 이러한 영희이다.
172,영희는 역무원이다. 그런데,철도역에서 승객들을 안내하는 사람이 이 영희이다.
173,영희는 역무원이다. 그런데,철도역에서 승객들을 안내하는 사람이 영희이다.
174,영수는 유엔 사무총장이다. 그런데,유엔 안전 보장 이사회에 출석하였던 사람이 이러한 영수이다.
175,영수는 유엔 사무총장이다. 그런데,유엔 안전 보장 이사회에 출석하였던 사람이 이 영수이다.
176,영수는 유엔 사무총장이다. 그런데,유엔 안전 보장 이사회에 출석하였던 사람이 영수이다.
177,영희는 통역사이다. 그런데,통역 업무를 위해 회사에 출근하였던 사람이 이러한 영희이다.
178,영희는 통역사이다. 그런데,통역 업무를 위해 회사에 출근하였던 사람이 이 영희이다.
179,영희는 통역사이다. 그런데,통역 업무를 위해 회사에 출근하였던 사람이 영희이다.
180,영수는 금융인이다. 그런데,최신 금융 정보를 얻기 위해 동료들을 만나고 있는 사람이 이러한 영수이다.
181,영수는 금융인이다. 그런데,최신 금융 정보를 얻기 위해 동료들을 만나고 있는 사람이 이 영수이다.
182,영수는 금융인이다. 그런데,최신 금융 정보를 얻기 위해 동료들을 만나고 있는 사람이 영수이다.
183,영희는 캐스터이다. 그런데,텔레비전 보도 프로그램을 진행하기 위해 지금 방송국에 있는 사람이 이러한 영희이다.
184,영희는 캐스터이다. 그런데,텔레비전 보도 프로그램을 진행하기 위해 지금 방송국에 있는 사람이 이 영희이다.
185,영희는 캐스터이다. 그런데,텔레비전 보도 프로그램을 진행하기 위해 지금 방송국에 있는 사람이 영희이다.
186,영수는 발명가이다. 그런데,발명 동호회 모임에 참석하기 위해 지금 집을 나섰던 사람이 이러한 영수이다.
187,영수는 발명가이다. 그런데,발명 동호회 모임에 참석하기 위해 지금 집을 나섰던 사람이 이 영수이다.
188,영수는 발명가이다. 그런데,발명 동호회 모임에 참석하기 위해 지금 집을 나섰던 사람이 영수이다.
189,영희는 음악가이다. 그런데,오늘 콘서트에 참석하였던 사람이 이러한 영희이다.
190,영희는 음악가이다. 그런데,오늘 콘서트에 참석하였던 사람이 이 영희이다.
191,영희는 음악가이다. 그런데,오늘 콘서트에 참석하였던 사람이 영희이다.
192,영수는 항공기 조종사이다. 그런데,얼마 전에 항공기 조종사 친목 단체의 회장이 되었던 사람이 이러한 영수이다.
193,영수는 항공기 조종사이다. 그런데,얼마 전에 항공기 조종사 친목 단체의 회장이 되었던 사람이 이 영수이다.
194,영수는 항공기 조종사이다. 그런데,얼마 전에 항공기 조종사 친목 단체의 회장이 되었던 사람이 영수이다.
195,영희는 미술가이다. 그런데,며칠 전에 미술관의 관장으로 임명되었던 사람이 이러한 영희이다.
196,영희는 미술가이다. 그런데,며칠 전에 미술관의 관장으로 임명되었던 사람이 이 영희이다.
197,영희는 미술가이다. 그런데,며칠 전에 미술관의 관장으로 임명되었던 사람이 영희이다.
198,영수는 투자자이다. 그런데,최근에 자산 운용사를 설립하였던 사람이 이러한 영수이다.
199,영수는 투자자이다. 그런데,최근에 자산 운용사를 설립하였던 사람이 이 영수이다.
200,영수는 투자자이다. 그런데,최근에 자산 운용사를 설립하였던 사람이 영수이다.
201,영희는 공인 노무사이다. 그런데,현재 채용에서부터 퇴직까지의 근로자 법률 문제를 담당하고 있는 사람이 이러한 영희이다.
202,영희는 공인 노무사이다. 그런데,현재 채용에서부터 퇴직까지의 근로자 법률 문제를 담당하고 있는 사람이 이 영희이다.
203,영희는 공인 노무사이다. 그런데,현재 채용에서부터 퇴직까지의 근로자 법률 문제를 담당하고 있는 사람이 영희이다.
204,영수는 영화 평론가이다. 그런데,영화 한 편을 여러 번 감상하는 습관이 있는 사람이 이러한 영수이다.
205,영수는 영화 평론가이다. 그런데,영화 한 편을 여러 번 감상하는 습관이 있는 사람이 이 영수이다.
206,영수는 영화 평론가이다. 그런데,영화 한 편을 여러 번 감상하는 습관이 있는 사람이 영수이다.
207,영희는 번역가이다. 그런데,얼마 전에 번역가 협회에서 회장 후보로 지명되었던 사람이 이러한 영희이다.
208,영희는 번역가이다. 그런데,얼마 전에 번역가 협회에서 회장 후보로 지명되었던 사람이 이 영희이다.
209,영희는 번역가이다. 그런데,얼마 전에 번역가 협회에서 회장 후보로 지명되었던 사람이 영희이다.
210,영수는 프로듀서이다. 그런데,제작된 작품의 흥행 여부를 지금 평론가들의 비평을 통해서 가늠하고 있는 사람이 이러한 영수이다.
211,영수는 프로듀서이다. 그런데,제작된 작품의 흥행 여부를 지금 평론가들의 비평을 통해서 가늠하고 있는 사람이 이 영수이다.
212,영수는 프로듀서이다. 그런데,제작된 작품의 흥행 여부를 지금 평론가들의 비평을 통해서 가늠하고 있는 사람이 영수이다.
213,영희는 무용가이다. 그런데,어려서부터 박자에 맞춰 춤을 추는 것을 좋아했던 사람이 이러한 영희이다.
214,영희는 무용가이다. 그런데,어려서부터 박자에 맞춰 춤을 추는 것을 좋아했던 사람이 이 영희이다.
215,영희는 무용가이다. 그런데,어려서부터 박자에 맞춰 춤을 추는 것을 좋아했던 사람이 영희이다.
216,영수는 고고학자이다. 그런데,현재 역사학과 같은 인문 계열의 지식은 물론 고생물학 및 물리학처럼 자연 계열의 지식도 갖추고 있는 사람이 이러한 영수이다.
217,영수는 고고학자이다. 그런데,현재 역사학과 같은 인문 계열의 지식은 물론 고생물학 및 물리학처럼 자연 계열의 지식도 갖추고 있는 사람이 이 영수이다.
218,영수는 고고학자이다. 그런데,현재 역사학과 같은 인문 계열의 지식은 물론 고생물학 및 물리학처럼 자연 계열의 지식도 갖추고 있는 사람이 영수이다.
219,영희는 마술사이다. 그런데,현재 계획에 맞추어 마술 공연을 연습하고 있는 사람이 이러한 영희이다.
220,영희는 마술사이다. 그런데,현재 계획에 맞추어 마술 공연을 연습하고 있는 사람이 이 영희이다.
221,영희는 마술사이다. 그런데,현재 계획에 맞추어 마술 공연을 연습하고 있는 사람이 영희이다.
222,영수는 법관이다. 그런데,지금 재판과 관련된 공판 기일을 살펴보고 있는 사람이 이러한 영수이다.
223,영수는 법관이다. 그런데,지금 재판과 관련된 공판 기일을 살펴보고 있는 사람이 이 영수이다.
224,영수는 법관이다. 그런데,지금 재판과 관련된 공판 기일을 살펴보고 있는 사람이 영수이다.
225,영희는 성우이다. 그런데,지금 방송 연출가로부터 역할을 배정받고 있는 사람이 이러한 영희이다.
226,영희는 성우이다. 그런데,지금 방송 연출가로부터 역할을 배정받고 있는 사람이 이 영희이다.
227,영희는 성우이다. 그런데,지금 방송 연출가로부터 역할을 배정받고 있는 사람이 영희이다.
228,영수는 감정 평가사이다. 그런데,얼마 전에 감정 평가 법인을 설립하였던 사람이 이러한 영수이다.
229,영수는 감정 평가사이다. 그런데,얼마 전에 감정 평가 법인을 설립하였던 사람이 이 영수이다.
230,영수는 감정 평가사이다. 그런데,얼마 전에 감정 평가 법인을 설립하였던 사람이 영수이다.
231,영희는 큐레이터이다. 그런데,현재 소장품과 관련된 학술적인 연구 업무를 수행하고 있는 사람이 이러한 영희이다.
232,영희는 큐레이터이다. 그런데,현재 소장품과 관련된 학술적인 연구 업무를 수행하고 있는 사람이 이 영희이다.
233,영희는 큐레이터이다. 그런데,현재 소장품과 관련된 학술적인 연구 업무를 수행하고 있는 사람이 영희이다.
234,영수는 유전 공학자이다. 그런데,"최근 인간의 삶을 질적으로, 양적으로 향상시킬 수 있는 유전 공학 기술의 발전을 학계에 제의하였던 사람이 이러한 영수이다."
235,영수는 유전 공학자이다. 그런데,"최근 인간의 삶을 질적으로, 양적으로 향상시킬 수 있는 유전 공학 기술의 발전을 학계에 제의하였던 사람이 이 영수이다."
236,영수는 유전 공학자이다. 그런데,"최근 인간의 삶을 질적으로, 양적으로 향상시킬 수 있는 유전 공학 기술의 발전을 학계에 제의하였던 사람이 영수이다."
237,영희는 코디네이터이다. 그런데,종종 실험적인 패션을 연출하는 사람이 이러한 영희이다.
238,영희는 코디네이터이다. 그런데,종종 실험적인 패션을 연출하는 사람이 이 영희이다.
239,영희는 코디네이터이다. 그런데,종종 실험적인 패션을 연출하는 사람이 영희이다.
240,그것은 탄산음료이다. 그런데,많은 사람들이 운동을 한 후에 찾는 것이 그것이다.
241,이것은 비행기이다. 그런데,오늘 오후 동경 사십 도를 지나기로 되어 있는 것이 이것이다.
242,이것은 장난감이다. 그런데,요즘 대기업들이 주목하고 있는 것이 이것이다.
243,이것은 치약이다. 그런데,요즘 치아 미백을 위해 요즘 새로운 성분을 첨가하는 실험을 하고 있는 것이 이것이다.
244,이것은 컴퓨터이다. 그런데,과거의 산업 형태들을 바꿀 수 있는 토대가 되는 것이 이것이다.
245,이것은 필기구이다. 그런데,최근 획기적인 변화를 하고 있는 것이 이것이다.
246,저것은 무지개이다. 그런데,항상 희망을 의미했던 것이 저것이다.
247,저것은 사과이다. 그런데,영희가 즐겨 먹는 과일이 저것이다.
248,이것은 커피이다. 그런데,학생들이 졸음을 쫓기 위해 자주 마시는 음료가 이것이다.
249,이것은 확성기이다. 그런데,마을 주민들에게 주변 마을 소식을 전해 주는 것이 이것이다.
250,이것은 국어사전이다. 그런데,최근 학생들이 국어를 공부하는 데에 반드시 참조하고 있는 것이 이것이다.
251,이것은 스마트폰이다. 그런데,휴대용 컴퓨터라고 불리는 것이 이것이다.
252,이것은 시계이다. 그런데,작업의 일정을 가늠할 수 있게 해 주는 것이 이것이다.
253,이것은 신문이다. 그런데,과거 광고주들이 가장 주목을 했던 매체가 이것이다.
254,이것은 녹차이다. 그런데,지금 할인점에서 티백으로 판매하고 있는 것이 이것이다.
255,이것은 가방이다. 그런데,요즘 여성들 사이에서 가장 인기 있는 것들 중의 하나가 이것이다.
256,이것은 컵라면이다. 그런데,바쁜 사람들이 즐겨 먹는 것이 이것이다.
257,이것은 사탕이다. 그런데,요즘 현대인들이 스트레스를 해소하기 위해 먹는 것이 이것이다.
258,이것은 소파이다. 그런데,요즘 현대인들이 즐겨 찾는 가구들 중의 하나가 이것이다.
259,이것은 자동차이다. 그런데,요즘 대학생들이 가지고 싶어 하는 것이 이것이다.
260,이것은 달력이다. 그런데,업무 일정을 알려 주는 것이 이것이다.
261,이것은 자전거이다. 그런데,학생들이 갖고 싶어 하는 것들 중의 하나가 이것이다.
262,이것은 침대이다. 그런데,하루 일과를 마친 현대인들에게 필요한 것이 이것이다.
263,이것은 식탁이다. 그런데,온 가족이 둘러앉아 식사를 하고 있는 탁자가 이것이다.
264,이것은 창문이다. 그런데,안에서 밖을 내다볼 수 있는 창구가 이것이다.
265,이것은 노트북이다. 그런데,이번 보고서 작성에 도움을 준 것이 이것이다.
266,이것은 전자레인지이다. 그런데,주방에 필요한 가전제품들 중의 하나가 이것이다.
267,이것은 텔레비전이다. 그런데,인류가 폭넓은 문화 경험을 할 수 있도록 도움을 주었던 것이 이것이다.
268,이것은 진공청소기이다. 그런데,청소에 많은 어려움과 불편함을 겪는 사람들의 고충을 해소하기 위하여 탄생되었던 것이 이것이다.
