,prev,next
53,영희는 스튜어디스이다. 그런데,스튜어디스는 항상 승객들의 안전을 생각한다.
54,영희는 아나운서이다. 그런데,이러한 아나운서는 방송국에서 뉴스 보도와 스포츠 중계 등을 담당한다.
55,영희는 아나운서이다. 그런데,이 아나운서는 방송국에서 뉴스 보도와 스포츠 중계 등을 담당한다.
56,영희는 아나운서이다. 그런데,아나운서는 방송국에서 뉴스 보도와 스포츠 중계 등을 담당한다.
57,영수는 국회 의원이다. 그런데,이러한 국회 의원은 국민의 대표로서 지금 정부의 내년 예산안을 심의하고 있다.
58,영수는 국회 의원이다. 그런데,이 국회 의원은 국민의 대표로서 지금 정부의 내년 예산안을 심의하고 있다.
59,영수는 국회 의원이다. 그런데,국회 의원은 국민의 대표로서 지금 정부의 내년 예산안을 심의하고 있다.
60,영희는 변리사이다. 그런데,이러한 변리사는 특허 업무에 관한 책을 많이 보고 있다.
61,영희는 변리사이다. 그런데,이 변리사는 특허 업무에 관한 책을 많이 보고 있다.
62,영희는 변리사이다. 그런데,변리사는 특허 업무에 관한 책을 많이 보고 있다.
63,영희는 교사이다. 그런데,이러한 교사는 항상 학생들을 올바르게 가르치려고 노력한다.
64,영희는 교사이다. 그런데,이 교사는 항상 학생들을 올바르게 가르치려고 노력한다.
65,영희는 교사이다. 그런데,교사는 항상 학생들을 올바르게 가르치려고 노력한다.
66,영희는 대변인이다. 그런데,이러한 대변인은 소속 단체의 의견을 사람들에게 제대로 전달하려고 노력한다.
67,영희는 대변인이다. 그런데,이 대변인은 소속 단체의 의견을 사람들에게 제대로 전달하려고 노력한다.
68,영희는 대변인이다. 그런데,대변인은 소속 단체의 의견을 사람들에게 제대로 전달하려고 노력한다.
69,영수는 대표 이사이다. 그런데,이러한 대표 이사는 지금 이사회의 신임을 받고 있다.
70,영수는 대표 이사이다. 그런데,이 대표 이사는 지금 이사회의 신임을 받고 있다.
71,영수는 대표 이사이다. 그런데,대표 이사는 지금 이사회의 신임을 받고 있다.
72,영수는 경찰이다. 그런데,이러한 경찰은 국민들이 안전하게 일상생활을 영위하도록 노력하고 있다.
73,영수는 경찰이다. 그런데,이 경찰은 국민들이 안전하게 일상생활을 영위하도록 노력하고 있다.
74,영수는 경찰이다. 그런데,경찰은 국민들이 안전하게 일상생활을 영위하도록 노력하고 있다.
75,영희는 농부이다. 그런데,이러한 농부는 땀을 흘려 농사를 짓는다.
76,영희는 농부이다. 그런데,이 농부는 땀을 흘려 농사를 짓는다.
77,영희는 농부이다. 그런데,농부는 땀을 흘려 농사를 짓는다.
78,영수는 어부이다. 그런데,이러한 어부는 바다를 사랑한다.
79,영수는 어부이다. 그런데,이 어부는 바다를 사랑한다.
80,영수는 어부이다. 그런데,어부는 바다를 사랑한다.
81,영희는 광부이다. 그런데,이러한 광부는 광산을 좋아한다.
82,영희는 광부이다. 그런데,이 광부는 광산을 좋아한다.
83,영희는 광부이다. 그런데,광부는 광산을 좋아한다.
84,영수는 조종사이다. 그런데,이러한 조종사는 항상 비행기의 안전한 운행을 생각한다.
85,영수는 조종사이다. 그런데,이 조종사는 항상 비행기의 안전한 운행을 생각한다.
86,영수는 조종사이다. 그런데,조종사는 항상 비행기의 안전한 운행을 생각한다.
87,영희는 장교이다. 그런데,이러한 장교는 병사들을 지휘한다.
88,영희는 장교이다. 그런데,이 장교는 병사들을 지휘한다.
89,영희는 장교이다. 그런데,장교는 병사들을 지휘한다.
90,영수는 배우이다. 그런데,이러한 배우는 항상 극에 맞는 인물로 변신한다.
91,영수는 배우이다. 그런데,이 배우는 항상 극에 맞는 인물로 변신한다.
92,영수는 배우이다. 그런데,배우는 항상 극에 맞는 인물로 변신한다.
93,영희는 가수이다. 그런데,이러한 가수는 노래를 자주 부른다.
94,영희는 가수이다. 그런데,이 가수는 노래를 자주 부른다.
95,영희는 가수이다. 그런데,가수는 노래를 자주 부른다.
96,영수는 대장장이이다. 그런데,이러한 대장장이는 새로운 연장을 만들고 있다.
97,영수는 대장장이이다. 그런데,이 대장장이는 새로운 연장을 만들고 있다.
98,영수는 대장장이이다. 그런데,대장장이는 새로운 연장을 만들고 있다.
99,영수는 의사이다. 그런데,이러한 의사는 입원 환자들을 돌보고 있다.
100,영수는 의사이다. 그런데,이 의사는 입원 환자들을 돌보고 있다.
101,영수는 의사이다. 그런데,의사는 입원 환자들을 돌보고 있다.
102,영희는 간호사이다. 그런데,이러한 간호사는 치료를 위해 약을 준비한다.
103,영희는 간호사이다. 그런데,이 간호사는 치료를 위해 약을 준비한다.
104,영희는 간호사이다. 그런데,간호사는 치료를 위해 약을 준비한다.
105,영희는 운전사이다. 그런데,이러한 운전사는 항상 차를 점검한다.
106,영희는 운전사이다. 그런데,이 운전사는 항상 차를 점검한다.
107,영희는 운전사이다. 그런데,운전사는 항상 차를 점검한다.
108,영수는 외교관이다. 그런데,이러한 외교관은 일반적으로 외교 업무에 능통하다.
109,영수는 외교관이다. 그런데,이 외교관은 일반적으로 외교 업무에 능통하다.
110,영수는 외교관이다. 그런데,외교관은 일반적으로 외교 업무에 능통하다.
111,영희는 선교사이다. 그런데,이러한 선교사는 신에 대한 믿음을 가지고 있다.
112,영희는 선교사이다. 그런데,이 선교사는 신에 대한 믿음을 가지고 있다.
113,영희는 선교사이다. 그런데,선교사는 신에 대한 믿음을 가지고 있다.
114,영희는 모델이다. 그런데,이러한 모델은 유행에 민감하다.
115,영희는 모델이다. 그런데,이 모델은 유행에 민감하다.
116,영희는 모델이다. 그런데,모델은 유행에 민감하다.
117,영희는 언어학자이다. 그런데,이러한 언어학자는 언어학에 전문적인 지식을 가지고 있다.
118,영희는 언어학자이다. 그런데,이 언어학자는 언어학에 전문적인 지식을 가지고 있다.
119,영희는 언어학자이다. 그런데,언어학자는 언어학에 전문적인 지식을 가지고 있다.
120,영수는 경제학자이다. 그런데,이러한 경제학자는 지금 세계의 경제를 분석하고 있다.
121,영수는 경제학자이다. 그런데,이 경제학자는 지금 세계의 경제를 분석하고 있다.
122,영수는 경제학자이다. 그런데,경제학자는 지금 세계의 경제를 분석하고 있다.
123,영수는 과학자이다. 그런데,이러한 과학자는 특이한 자연 현상에 대한 인과 관계를 분석하고 있다.
124,영수는 과학자이다. 그런데,이 과학자는 특이한 자연 현상에 대한 인과 관계를 분석하고 있다.
125,영수는 과학자이다. 그런데,과학자는 특이한 자연 현상에 대한 인과 관계를 분석하고 있다.
126,영희는 사회학자이다. 그런데,이러한 사회학자는 항상 사회관계의 근본 원리를 탐구한다.
127,영희는 사회학자이다. 그런데,이 사회학자는 항상 사회관계의 근본 원리를 탐구한다.
128,영희는 사회학자이다. 그런데,사회학자는 항상 사회관계의 근본 원리를 탐구한다.
129,영희는 철학자이다. 그런데,이러한 철학자는 항상 삶의 본질을 탐구한다.
130,영희는 철학자이다. 그런데,이 철학자는 항상 삶의 본질을 탐구한다.
131,영희는 철학자이다. 그런데,철학자는 항상 삶의 본질을 탐구한다.
132,영수는 영화감독이다. 그런데,이러한 영화감독은 영화 제작에 대한 경험이 풍부하다.
133,영수는 영화감독이다. 그런데,이 영화감독은 영화 제작에 대한 경험이 풍부하다.
134,영수는 영화감독이다. 그런데,영화감독은 영화 제작에 대한 경험이 풍부하다.
135,영희는 기자이다. 그런데,이러한 기자는 사람들에게 올바른 정보를 제공하려고 노력한다.
136,영희는 기자이다. 그런데,이 기자는 사람들에게 올바른 정보를 제공하려고 노력한다.
137,영희는 기자이다. 그런데,기자는 사람들에게 올바른 정보를 제공하려고 노력한다.
138,영수는 법학자이다. 그런데,이러한 법학자는 일반적으로 실정법에 대한 해박한 지식을 가지고 있다.
139,영수는 법학자이다. 그런데,이 법학자는 일반적으로 실정법에 대한 해박한 지식을 가지고 있다.
140,영수는 법학자이다. 그런데,법학자는 일반적으로 실정법에 대한 해박한 지식을 가지고 있다.
141,영수는 수학자이다. 그런데,이러한 수학자는 기하와 대수에 대한 해박한 지식을 가지고 있다.
142,영수는 수학자이다. 그런데,이 수학자는 기하와 대수에 대한 해박한 지식을 가지고 있다.
143,영수는 수학자이다. 그런데,수학자는 기하와 대수에 대한 해박한 지식을 가지고 있다.
144,영희는 문학가이다. 그런데,이러한 문학가는 문학 작품 창작에 관심을 가지고 있다.
145,영희는 문학가이다. 그런데,이 문학가는 문학 작품 창작에 관심을 가지고 있다.
146,영희는 문학가이다. 그런데,문학가는 문학 작품 창작에 관심을 가지고 있다.
147,영수는 유전학자이다. 그런데,이러한 유전학자는 최근 사람들의 주목을 받고 있다.
148,영수는 유전학자이다. 그런데,이 유전학자는 최근 사람들의 주목을 받고 있다.
149,영수는 유전학자이다. 그런데,유전학자는 최근 사람들의 주목을 받고 있다.
150,영희는 디자이너이다. 그런데,이러한 디자이너는 항상 창의성이 뛰어나다.
151,영희는 디자이너이다. 그런데,이 디자이너는 항상 창의성이 뛰어나다.
152,영희는 디자이너이다. 그런데,디자이너는 항상 창의성이 뛰어나다.
153,영수는 회계사이다. 그런데,이러한 회계사는 수입과 지출과 관련된 사항들을 점검하고 있다.
154,영수는 회계사이다. 그런데,이 회계사는 수입과 지출과 관련된 사항들을 점검하고 있다.
155,영수는 회계사이다. 그런데,회계사는 수입과 지출과 관련된 사항들을 점검하고 있다.
156,영수는 건축사이다. 그런데,이러한 건축사는 지금 건축물의 설계를 담당하고 있다.
157,영수는 건축사이다. 그런데,이 건축사는 지금 건축물의 설계를 담당하고 있다.
158,영수는 건축사이다. 그런데,건축사는 지금 건축물의 설계를 담당하고 있다.
159,영희는 가정주부이다. 그런데,이러한 가정주부는 일반적으로 한 집안의 살림을 책임지고 있다.
160,영희는 가정주부이다. 그런데,이 가정주부는 일반적으로 한 집안의 살림을 책임지고 있다.
161,영희는 가정주부이다. 그런데,가정주부는 일반적으로 한 집안의 살림을 책임지고 있다.
162,영희는 사회 복지사이다. 그런데,이러한 사회 복지사는 일반적으로 사회 복지에 필요한 내용을 인지하고 있다.
163,영희는 사회 복지사이다. 그런데,이 사회 복지사는 일반적으로 사회 복지에 필요한 내용을 인지하고 있다.
164,영희는 사회 복지사이다. 그런데,사회 복지사는 일반적으로 사회 복지에 필요한 내용을 인지하고 있다.
165,영희는 약사이다. 그런데,이러한 약사는 일반적으로 의약품을 전문적으로 취급하고 있다.
166,영희는 약사이다. 그런데,이 약사는 일반적으로 의약품을 전문적으로 취급하고 있다.
167,영희는 약사이다. 그런데,약사는 일반적으로 의약품을 전문적으로 취급하고 있다.
168,영희는 세무사이다. 그런데,이러한 세무사는 납세 의무자들의 납세를 도와준다.
169,영희는 세무사이다. 그런데,이 세무사는 납세 의무자들의 납세를 도와준다.
170,영희는 세무사이다. 그런데,세무사는 납세 의무자들의 납세를 도와준다.
171,영희는 역무원이다. 그런데,이러한 역무원은 지금 철도역에서 승객들을 보호하고 있다.
172,영희는 역무원이다. 그런데,이 역무원은 지금 철도역에서 승객들을 보호하고 있다.
173,영희는 역무원이다. 그런데,역무원은 지금 철도역에서 승객들을 보호하고 있다.
174,영수는 유엔 사무총장이다. 그런데,이러한 유엔 사무총장은 안전 보장 이사회의 권고에 의하여 총회에서 선출한다.
175,영수는 유엔 사무총장이다. 그런데,이 유엔 사무총장은 안전 보장 이사회의 권고에 의하여 총회에서 선출한다.
176,영수는 유엔 사무총장이다. 그런데,유엔 사무총장은 안전 보장 이사회의 권고에 의하여 총회에서 선출한다.
177,영희는 통역사이다. 그런데,"이러한 통역사는 통역 방식에 따라 동시 통역사, 순차 통역사, 위스퍼링 통역사, 원격 통역사 등으로 나뉜다."
178,영희는 통역사이다. 그런데,"이 통역사는 통역 방식에 따라 동시 통역사, 순차 통역사, 위스퍼링 통역사, 원격 통역사 등으로 나뉜다."
179,영희는 통역사이다. 그런데,"통역사는 통역 방식에 따라 동시 통역사, 순차 통역사, 위스퍼링 통역사, 원격 통역사 등으로 나뉜다."
180,영수는 금융인이다. 그런데,이러한 금융인은 일반적으로 금융에 대한 해박한 지식을 가지고 있다.
181,영수는 금융인이다. 그런데,이 금융인은 일반적으로 금융에 대한 해박한 지식을 가지고 있다.
182,영수는 금융인이다. 그런데,금융인은 일반적으로 금융에 대한 해박한 지식을 가지고 있다.
183,영희는 캐스터이다. 그런데,"이러한 캐스터는 관련 영역에 따라 뉴스 캐스터, 기상 캐스터 등으로 나뉜다."
184,영희는 캐스터이다. 그런데,"이 캐스터는 관련 영역에 따라 뉴스 캐스터, 기상 캐스터 등으로 나뉜다."
185,영희는 캐스터이다. 그런데,"캐스터는 관련 영역에 따라 뉴스 캐스터, 기상 캐스터 등으로 나뉜다."
186,영수는 발명가이다. 그런데,이러한 발명가는 사소한 물건도 그냥 보아 넘기지 않는다.
187,영수는 발명가이다. 그런데,이 발명가는 사소한 물건도 그냥 보아 넘기지 않는다.
188,영수는 발명가이다. 그런데,발명가는 사소한 물건도 그냥 보아 넘기지 않는다.
189,영희는 음악가이다. 그런데,"이러한 음악가는 관련 영역에 따라 작곡가, 지휘자, 연주가, 성악가 등으로 나뉜다."
190,영희는 음악가이다. 그런데,"이 음악가는 관련 영역에 따라 작곡가, 지휘자, 연주가, 성악가 등으로 나뉜다."
191,영희는 음악가이다. 그런데,"음악가는 관련 영역에 따라 작곡가, 지휘자, 연주가, 성악가 등으로 나뉜다."
192,영수는 항공기 조종사이다. 그런데,이러한 항공기 조종사는 항공기를 일정한 방향과 속도로 움직이도록 다루는 기능과 자격을 갖추어야 한다.
193,영수는 항공기 조종사이다. 그런데,이 항공기 조종사는 항공기를 일정한 방향과 속도로 움직이도록 다루는 기능과 자격을 갖추어야 한다.
194,영수는 항공기 조종사이다. 그런데,항공기 조종사는 항공기를 일정한 방향과 속도로 움직이도록 다루는 기능과 자격을 갖추어야 한다.
195,영희는 미술가이다. 그런데,"이러한 미술가는 관련 영역에 따라 화가, 조각가, 공예가, 산업 미술가, 건축 미술가 등이 있다."
196,영희는 미술가이다. 그런데,"이 미술가는 관련 영역에 따라 화가, 조각가, 공예가, 산업 미술가, 건축 미술가 등이 있다."
197,영희는 미술가이다. 그런데,"미술가는 관련 영역에 따라 화가, 조각가, 공예가, 산업 미술가, 건축 미술가 등이 있다."
198,영수는 투자자이다. 그런데,이러한 투자자는 잘못된 투자에 미혹되지 않도록 경계해야 한다.
199,영수는 투자자이다. 그런데,이 투자자는 잘못된 투자에 미혹되지 않도록 경계해야 한다.
200,영수는 투자자이다. 그런데,투자자는 잘못된 투자에 미혹되지 않도록 경계해야 한다.
201,영희는 공인 노무사이다. 그런데,이러한 공인 노무사는 사업장의 노사 관계 대한 사항을 진단하고 분석하여 합리적인 방안을 제시하여야 한다.
202,영희는 공인 노무사이다. 그런데,이 공인 노무사는 사업장의 노사 관계 대한 사항을 진단하고 분석하여 합리적인 방안을 제시하여야 한다.
203,영희는 공인 노무사이다. 그런데,공인 노무사는 사업장의 노사 관계 대한 사항을 진단하고 분석하여 합리적인 방안을 제시하여야 한다.
204,영수는 영화 평론가이다. 그런데,이러한 영화 평론가는 현재 영화에 대한 평론뿐만 아니라 영화가 나아가야 할 방향도 제시해 주고 있다.
205,영수는 영화 평론가이다. 그런데,이 영화 평론가는 현재 영화에 대한 평론뿐만 아니라 영화가 나아가야 할 방향도 제시해 주고 있다.
206,영수는 영화 평론가이다. 그런데,영화 평론가는 현재 영화에 대한 평론뿐만 아니라 영화가 나아가야 할 방향도 제시해 주고 있다.
207,영희는 번역가이다. 그런데,이러한 번역가는 전문 서적을 번역하면서 번역료를 받는다.
208,영희는 번역가이다. 그런데,이 번역가는 전문 서적을 번역하면서 번역료를 받는다.
209,영희는 번역가이다. 그런데,번역가는 전문 서적을 번역하면서 번역료를 받는다.
210,영수는 프로듀서이다. 그런데,이러한 프로듀서는 참다운 문화의 개척자라는 소명 의식을 가져야 한다.
211,영수는 프로듀서이다. 그런데,이 프로듀서는 참다운 문화의 개척자라는 소명 의식을 가져야 한다.
212,영수는 프로듀서이다. 그런데,프로듀서는 참다운 문화의 개척자라는 소명 의식을 가져야 한다.
213,영희는 무용가이다. 그런데,이러한 무용가는 작품의 내용과 감정을 관객에게 전달하기 위해 다양한 동작을 통해 작품을 표현한다.
214,영희는 무용가이다. 그런데,이 무용가는 작품의 내용과 감정을 관객에게 전달하기 위해 다양한 동작을 통해 작품을 표현한다.
215,영희는 무용가이다. 그런데,무용가는 작품의 내용과 감정을 관객에게 전달하기 위해 다양한 동작을 통해 작품을 표현한다.
216,영수는 고고학자이다. 그런데,"이러한 고고학자는 인간의 흔적, 물질, 동물과 식물, 지질의 흔적 등을 다룬다."
217,영수는 고고학자이다. 그런데,"이 고고학자는 인간의 흔적, 물질, 동물과 식물, 지질의 흔적 등을 다룬다."
218,영수는 고고학자이다. 그런데,"고고학자는 인간의 흔적, 물질, 동물과 식물, 지질의 흔적 등을 다룬다."
219,영희는 마술사이다. 그런데,"이러한 마술사는 공연 의뢰를 받으면, 마술의 종류와 도구, 공연 진행 순서, 음악 선곡 등을 계획한다."
220,영희는 마술사이다. 그런데,"이 마술사는 공연 의뢰를 받으면, 마술의 종류와 도구, 공연 진행 순서, 음악 선곡 등을 계획한다."
221,영희는 마술사이다. 그런데,"마술사는 공연 의뢰를 받으면, 마술의 종류와 도구, 공연 진행 순서, 음악 선곡 등을 계획한다."
222,영수는 법관이다. 그런데,이러한 법관은 대법원 법관인 대법관과 하급 법원 법관인 판사로 구분된다.
223,영수는 법관이다. 그런데,이 법관은 대법원 법관인 대법관과 하급 법원 법관인 판사로 구분된다.
224,영수는 법관이다. 그런데,법관은 대법원 법관인 대법관과 하급 법원 법관인 판사로 구분된다.
225,영희는 성우이다. 그런데,"이러한 성우는 라디오, 텔레비전, 영화 녹음 등에서 연기의 감정을 자신의 목소리에 실어 연기한다."
226,영희는 성우이다. 그런데,"이 성우는 라디오, 텔레비전, 영화 녹음 등에서 연기의 감정을 자신의 목소리에 실어 연기한다."
227,영희는 성우이다. 그런데,"성우는 라디오, 텔레비전, 영화 녹음 등에서 연기의 감정을 자신의 목소리에 실어 연기한다."
228,영수는 감정 평가사이다. 그런데,이러한 감정 평가사는 표준지의 공시 지가를 정확하게 조사해야 한다.
229,영수는 감정 평가사이다. 그런데,이 감정 평가사는 표준지의 공시 지가를 정확하게 조사해야 한다.
230,영수는 감정 평가사이다. 그런데,감정 평가사는 표준지의 공시 지가를 정확하게 조사해야 한다.
231,영희는 큐레이터이다. 그런데,이러한 큐레이터는 관람객들에게 소장품이나 자료에 대한 이해를 돕기 위해 교육 프로그램을 개발하고 실행해야 한다.
232,영희는 큐레이터이다. 그런데,이 큐레이터는 관람객들에게 소장품이나 자료에 대한 이해를 돕기 위해 교육 프로그램을 개발하고 실행해야 한다.
233,영희는 큐레이터이다. 그런데,큐레이터는 관람객들에게 소장품이나 자료에 대한 이해를 돕기 위해 교육 프로그램을 개발하고 실행해야 한다.
234,영수는 유전 공학자이다. 그런데,이러한 유전 공학자는 인간에게 유용한 물질을 만들기 위하여 유전자 조작 기술을 이용한다.
235,영수는 유전 공학자이다. 그런데,이 유전 공학자는 인간에게 유용한 물질을 만들기 위하여 유전자 조작 기술을 이용한다.
236,영수는 유전 공학자이다. 그런데,유전 공학자는 인간에게 유용한 물질을 만들기 위하여 유전자 조작 기술을 이용한다.
237,영희는 코디네이터이다. 그런데,이러한 코디네이터는 사람들의 외양을 그들의 이미지에 맞게 다듬어 주어야 한다.
238,영희는 코디네이터이다. 그런데,이 코디네이터는 사람들의 외양을 그들의 이미지에 맞게 다듬어 주어야 한다.
239,영희는 코디네이터이다. 그런데,코디네이터는 사람들의 외양을 그들의 이미지에 맞게 다듬어 주어야 한다.
240,그것은 탄산음료이다. 그런데,이러한 탄산음료는 맑고 시원한 느낌을 준다.
241,그것은 탄산음료이다. 그런데,이 탄산음료는 맑고 시원한 느낌을 준다.
242,그것은 탄산음료이다. 그런데,탄산음료는 맑고 시원한 느낌을 준다.
243,이것은 비행기이다. 그런데,이러한 비행기에서는 탑승객들이 승무원들의 안내를 받는다.
244,이것은 비행기이다. 그런데,이 비행기에서는 탑승객들이 승무원들의 안내를 받는다.
245,이것은 비행기이다. 그런데,비행기에서는 탑승객들이 승무원들의 안내를 받는다.
246,이것은 장난감이다. 그런데,이러한 장난감은 아이들에게 즐거움 주었다.
247,이것은 장난감이다. 그런데,이 장난감은 아이들에게 즐거움 주었다.
248,이것은 장난감이다. 그런데,장난감은 아이들에게 즐거움 주었다.
249,이것은 치약이다. 그런데,이러한 치약은 요즘 인기가 있는 세정제보다 치아를 더 건강하게 해 준다.
250,이것은 치약이다. 그런데,이 치약은 요즘 인기가 있는 세정제보다 치아를 더 건강하게 해 준다.
251,이것은 치약이다. 그런데,치약은 요즘 인기가 있는 세정제보다 치아를 더 건강하게 해 준다.
252,이것은 컴퓨터이다. 그런데,이러한 컴퓨터는 프로그램이 중요하다.
253,이것은 컴퓨터이다. 그런데,이 컴퓨터는 프로그램이 중요하다.
254,이것은 컴퓨터이다. 그런데,컴퓨터는 프로그램이 중요하다.
255,이것은 필기구이다. 그런데,이러한 필기구는 책상 위에 놓여 있다.
256,이것은 필기구이다. 그런데,이 필기구는 책상 위에 놓여 있다.
257,이것은 필기구이다. 그런데,필기구는 책상 위에 놓여 있다.
258,저것은 무지개이다. 그런데,이러한 무지개는 긍정적인 의미를 나타낸다.
259,저것은 무지개이다. 그런데,이 무지개는 긍정적인 의미를 나타낸다.
260,저것은 무지개이다. 그런데,무지개는 긍정적인 의미를 나타낸다.
261,저것은 사과이다. 그런데,이러한 사과는 과일의 왕이라고 한다.
262,저것은 사과이다. 그런데,이 사과는 과일의 왕이라고 한다.
263,저것은 사과이다. 그런데,사과는 과일의 왕이라고 한다.
264,이것은 커피이다. 그런데,이러한 커피는 카페인이 포함된 음료이다.
265,이것은 커피이다. 그런데,이 커피는 카페인이 포함된 음료이다.
266,이것은 커피이다. 그런데,커피는 카페인이 포함된 음료이다.
267,이것은 확성기이다. 그런데,이러한 확성기는 현재 안내 방송을 하고 있다.
268,이것은 확성기이다. 그런데,이 확성기는 현재 안내 방송을 하고 있다.
269,이것은 확성기이다. 그런데,확성기는 현재 안내 방송을 하고 있다.
270,이것은 국어사전이다. 그런데,이러한 국어사전에는 많은 어휘들이 실려 있다.
271,이것은 국어사전이다. 그런데,이 국어사전에는 많은 어휘들이 실려 있다.
272,이것은 국어사전이다. 그런데,국어사전에는 많은 어휘들이 실려 있다.
273,이것은 스마트폰이다. 그런데,이러한 스마트폰은 최근 새로운 문화를 만들어 내는 데에 일조하고 있다.
274,이것은 스마트폰이다. 그런데,이 스마트폰은 최근 새로운 문화를 만들어 내는 데에 일조하고 있다.
275,이것은 스마트폰이다. 그런데,스마트폰은 최근 새로운 문화를 만들어 내는 데에 일조하고 있다.
276,이것은 시계이다. 그런데,이러한 시계는 최근 직장인들의 액세서리가 되고 있다.
277,이것은 시계이다. 그런데,이 시계는 최근 직장인들의 액세서리가 되고 있다.
